result_academic_year,region,institution_name,campus_name,admission_round_name,program_name,day_night,admission_category,admission_track_name,capacity,applicant_count,admitted_count,competition_rate,best_score,average_score,cutoff_score,score_basis,score_direction,source_reference
2026,경기,경기과학기술대학교,경기 지역,정시모집,경영학과,DAY,일반전형,일반전형,3,,,37.33,,65.06,56,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:2;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,사회복지학과,DAY,일반전형,일반전형,16,,,7.69,,50.29,13.5,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:3;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,국방군사학과,DAY,일반전형,일반전형,2,,,25.5,,56.75,38,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:4;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,자유전공학과,DAY,일반전형,일반전형,3,,,40.33,,66.57,61,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:5;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,보건의료정보학과,DAY,일반전형,일반전형,4,,,47.75,,71.83,70,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:6;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,건축인테리어학과,DAY,일반전형,일반전형,8,,,16.13,,68.2,62,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:7;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,기계공학과,DAY,일반전형,일반전형,20,,,18.3,,70.79,65.5,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:8;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,건축소방안전학과,DAY,일반전형,일반전형,9,,,19,,72.75,69.5,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:9;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,메카트로닉스공학과,DAY,일반전형,일반전형,24,,,6.13,,69.53,60,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:10;score_columns=평균_수능,최저_수능"
2026,경기,경기과학기술대학교,경기 지역,정시모집,미래전기자동차과,DAY,일반전형,일반전형,14,,,10.29,,62.24,53.5,POINT_SCORE,HIGHER_IS_BETTER,"sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:11;score_columns=평균_수능,최저_수능"
